,Sample,CloudPercenatge,sample_std
0,target_29SND_2017-06-20_2017-11-16_1977_2105_1721_1849_30_110_26_106.npz,25.0,0.028
1,target_29SND_2017-06-20_2017-11-16_2617_2745_1465_1593_40_120_22_102.npz,25.0,0.013
2,target_29SND_2017-06-20_2017-11-16_953_1081_3641_3769_14_94_56_136.npz,28.0,0.01
3,target_29SND_2017-06-30_2017-11-26_1081_1209_1721_1849_16_96_26_106.npz,26.0,0.017
4,target_29SND_2017-06-30_2017-11-26_1209_1337_1977_2105_18_98_30_110.npz,27.0,0.033
5,target_29SND_2017-06-30_2017-11-26_2617_2745_3897_4025_40_120_60_140.npz,33.0,0.008
6,target_29SND_2017-06-30_2017-11-26_3129_3257_4153_4281_48_128_64_144.npz,26.0,0.011
7,target_29SND_2017-06-30_2017-11-26_4281_4409_2489_2617_66_146_38_118.npz,31.0,0.007
8,target_29SND_2017-06-30_2017-11-26_4409_4537_5049_5177_68_148_78_158.npz,28.0,0.045
9,target_29SND_2017-06-30_2017-11-26_5049_5177_4921_5049_78_158_76_156.npz,33.0,0.009
10,target_29SND_2017-06-30_2017-11-26_5049_5177_5177_5305_78_158_80_160.npz,30.0,0.01
11,target_29SND_2017-06-30_2017-11-26_5177_5305_5305_5433_80_160_82_162.npz,30.0,0.012
12,target_29SND_2017-07-05_2017-12-01_4281_4409_2105_2233_66_146_32_112.npz,27.0,0.016
13,target_29SND_2017-07-10_2017-12-06_1465_1593_4921_5049_22_102_76_156.npz,30.0,0.007
14,target_29SND_2017-07-10_2017-12-06_2105_2233_5049_5177_32_112_78_158.npz,25.0,0.007
15,target_29SND_2017-07-10_2017-12-06_3513_3641_2873_3001_54_134_44_124.npz,22.0,0.029
16,target_29SND_2017-07-10_2017-12-06_4281_4409_1593_1721_66_146_24_104.npz,25.0,0.016
17,target_29SND_2017-07-10_2017-12-06_4921_5049_1209_1337_76_156_18_98.npz,24.0,0.018
18,target_29SND_2017-07-10_2017-12-06_4921_5049_1593_1721_76_156_24_104.npz,22.0,0.007
19,target_29SND_2017-07-10_2017-12-06_4921_5049_1849_1977_76_156_28_108.npz,23.0,0.015
20,target_29SND_2017-07-10_2017-12-06_5049_5177_1337_1465_78_158_20_100.npz,22.0,0.008
21,target_29SND_2017-07-10_2017-12-06_5177_5305_2233_2361_80_160_34_114.npz,25.0,0.018
22,target_29SND_2017-07-15_2017-12-11_3641_3769_825_953_56_136_12_92.npz,31.0,0.01
23,target_29SND_2017-07-20_2017-12-16_1593_1721_5305_5433_24_104_82_162.npz,32.0,0.013
